# Schedule: guided, Chunk Size: 10
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.329672	1.00	1.00
2	0.928125	0.36	0.18
3	0.937894	0.35	0.12
4	1.006388	0.33	0.08
5	1.028247	0.32	0.06
6	1.072947	0.31	0.05
7	1.065463	0.31	0.04
8	1.066639	0.31	0.04
9	1.079358	0.31	0.03
10	1.106844	0.30	0.03
11	1.121691	0.29	0.03
12	1.128097	0.29	0.02
13	1.138262	0.29	0.02
14	1.125412	0.29	0.02
15	1.154104	0.29	0.02
16	1.171258	0.28	0.02
