# Schedule: static, Chunk Size: 50
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.316706	1.00	1.00
2	0.925558	0.34	0.17
3	0.915625	0.35	0.12
4	1.030366	0.31	0.08
5	1.007989	0.31	0.06
6	1.081521	0.29	0.05
7	1.060330	0.30	0.04
8	1.071226	0.30	0.04
9	1.079217	0.29	0.03
10	1.093395	0.29	0.03
11	1.102723	0.29	0.03
12	1.114012	0.28	0.02
13	1.121303	0.28	0.02
14	1.151644	0.28	0.02
15	1.159668	0.27	0.02
16	1.171167	0.27	0.02
