# Schedule: dynamic, Chunk Size: 50
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.326908	1.00	1.00
2	0.966924	0.34	0.17
3	0.977245	0.33	0.11
4	1.028660	0.32	0.08
5	1.074425	0.30	0.06
6	1.044454	0.31	0.05
7	1.063494	0.31	0.04
8	1.067033	0.31	0.04
9	1.094828	0.30	0.03
10	1.090562	0.30	0.03
11	1.112023	0.29	0.03
12	1.110034	0.29	0.02
13	1.139919	0.29	0.02
14	1.147882	0.28	0.02
15	1.161327	0.28	0.02
16	1.166284	0.28	0.02
