# Schedule: static, Chunk Size: 10
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.314112	1.00	1.00
2	0.964999	0.33	0.16
3	0.992848	0.32	0.11
4	1.081457	0.29	0.07
5	1.082037	0.29	0.06
6	1.050579	0.30	0.05
7	1.057863	0.30	0.04
8	1.067328	0.29	0.04
9	1.096418	0.29	0.03
10	1.093258	0.29	0.03
11	1.103499	0.28	0.03
12	1.127763	0.28	0.02
13	1.136764	0.28	0.02
14	1.152185	0.27	0.02
15	1.154255	0.27	0.02
16	1.166619	0.27	0.02
