# Schedule: guided, Chunk Size: 25
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.343885	1.00	1.00
2	0.959639	0.36	0.18
3	0.979358	0.35	0.12
4	1.065375	0.32	0.08
5	1.075423	0.32	0.06
6	1.062632	0.32	0.05
7	1.070147	0.32	0.05
8	1.067656	0.32	0.04
9	1.078732	0.32	0.04
10	1.105642	0.31	0.03
11	1.100744	0.31	0.03
12	1.124267	0.31	0.03
13	1.138656	0.30	0.02
14	1.150573	0.30	0.02
15	1.160074	0.30	0.02
16	1.166641	0.29	0.02
