# Schedule: dynamic, Chunk Size: 10
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.306736	1.00	1.00
2	0.997041	0.31	0.15
3	0.967354	0.32	0.11
4	1.039287	0.30	0.07
5	1.069508	0.29	0.06
6	1.072427	0.29	0.05
7	1.069402	0.29	0.04
8	1.071524	0.29	0.04
9	1.079702	0.28	0.03
10	1.127028	0.27	0.03
11	1.098440	0.28	0.03
12	1.110851	0.28	0.02
13	1.142209	0.27	0.02
14	1.129485	0.27	0.02
15	1.158925	0.26	0.02
16	1.166846	0.26	0.02
