# Schedule: static, Chunk Size: 25
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.306927	1.00	1.00
2	0.958310	0.32	0.16
3	0.932797	0.33	0.11
4	0.996968	0.31	0.08
5	1.079197	0.28	0.06
6	1.067682	0.29	0.05
7	1.064135	0.29	0.04
8	1.070184	0.29	0.04
9	1.141732	0.27	0.03
10	1.089472	0.28	0.03
11	1.123412	0.27	0.02
12	1.108681	0.28	0.02
13	1.136236	0.27	0.02
14	1.152737	0.27	0.02
15	1.160107	0.26	0.02
16	1.166087	0.26	0.02
