# Schedule: guided, Chunk Size: 5
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.343887	1.00	1.00
2	0.937056	0.37	0.18
3	1.078149	0.32	0.11
4	1.076756	0.32	0.08
5	1.032603	0.33	0.07
6	1.076229	0.32	0.05
7	1.069948	0.32	0.05
8	1.073874	0.32	0.04
9	1.079932	0.32	0.04
10	1.086005	0.32	0.03
11	1.104224	0.31	0.03
12	1.125427	0.31	0.03
13	1.139240	0.30	0.02
14	1.131355	0.30	0.02
15	1.154287	0.30	0.02
16	1.166918	0.29	0.02
