# Schedule: dynamic, Chunk Size: 25
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.314879	1.00	1.00
2	0.965803	0.33	0.16
3	0.920634	0.34	0.11
4	0.981715	0.32	0.08
5	1.077316	0.29	0.06
6	1.084243	0.29	0.05
7	1.055491	0.30	0.04
8	1.071092	0.29	0.04
9	1.085612	0.29	0.03
10	1.091418	0.29	0.03
11	1.104487	0.29	0.03
12	1.129487	0.28	0.02
13	1.142189	0.28	0.02
14	1.152518	0.27	0.02
15	1.159005	0.27	0.02
16	1.170531	0.27	0.02
