# Schedule: dynamic, Chunk Size: 5
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.340740	1.00	1.00
2	0.992607	0.34	0.17
3	1.027400	0.33	0.11
4	1.003225	0.34	0.08
5	1.077612	0.32	0.06
6	1.075051	0.32	0.05
7	1.065084	0.32	0.05
8	1.071213	0.32	0.04
9	1.094217	0.31	0.03
10	1.091904	0.31	0.03
11	1.122516	0.30	0.03
12	1.111914	0.31	0.03
13	1.122042	0.30	0.02
14	1.146283	0.30	0.02
15	1.160861	0.29	0.02
16	1.171180	0.29	0.02
