# Schedule: guided, Chunk Size: 50
# Threads	Avg Time (s)	Speedup	Efficiency
1	0.319398	1.00	1.00
2	0.959174	0.33	0.17
3	0.971630	0.33	0.11
4	1.015568	0.31	0.08
5	1.070633	0.30	0.06
6	1.047052	0.31	0.05
7	1.083287	0.29	0.04
8	1.067579	0.30	0.04
9	1.083903	0.29	0.03
10	1.091332	0.29	0.03
11	1.114854	0.29	0.03
12	1.112045	0.29	0.02
13	1.125535	0.28	0.02
14	1.147535	0.28	0.02
15	1.158535	0.28	0.02
16	1.171879	0.27	0.02
