# NumProcesses	AvgTime
1	40.849538
2	18.930109
3	13.576919
4	10.461878
5	9.023271
6	7.640627
7	6.891845
8	6.452851
9	7.263191
10	6.908746
11	6.818406
12	6.641628
13	6.528913
14	6.221386
15	5.983399
16	5.848943
