0.860089	0.527882	0.417161	0.347755	0.319517	0.280427	0.274997	0.261236	0.274111	0.267132	0.265162	0.248893	0.241404	0.229700	0.235192	0.237126
1.480947	0.871172	0.697709	0.585639	0.531891	0.488932	0.450634	0.422458	0.431362	0.429642	0.413111	0.407710	0.403196	0.390800	0.388917	0.380716
1.711158	0.965783	0.777534	0.639780	0.587531	0.531436	0.491530	0.462240	0.487713	0.462763	0.445740	0.442677	0.443597	0.418987	0.416197	0.402568
1.978982	1.089848	0.862639	0.716924	0.660435	0.572065	0.536034	0.527322	0.541908	0.503886	0.489418	0.480680	0.471744	0.449357	0.454053	0.430692
2.243541	1.220235	0.952935	0.791415	0.708473	0.629327	0.583028	0.539667	0.576896	0.552610	0.534340	0.519452	0.510966	0.500706	0.493881	0.455413
2.482601	1.326751	1.023730	0.831498	0.753784	0.677100	0.626107	0.565567	0.619428	0.594074	0.573676	0.549394	0.541575	0.520896	0.518682	0.497201
2.187641	1.188492	0.926930	0.766071	0.691572	0.621403	0.579450	0.532789	0.560507	0.542638	0.527787	0.524583	0.499507	0.485198	0.480505	0.465203
1.921066	1.068496	0.835650	0.703018	0.633730	0.569104	0.523938	0.486597	0.510302	0.501524	0.481432	0.464910	0.457310	0.453843	0.439924	0.437305
1.666674	0.949856	0.740981	0.628326	0.571217	0.519926	0.490755	0.455803	0.484311	0.460930	0.447468	0.436350	0.415931	0.401707	0.407290	0.411198
1.442180	0.836546	0.670063	0.559270	0.516079	0.476570	0.451949	0.414177	0.432733	0.406380	0.409419	0.409004	0.387666	0.381719	0.377074	0.371563
0.717114	0.465710	0.368752	0.319587	0.286848	0.261597	0.249473	0.233615	0.248601	0.233185	0.229967	0.220733	0.211505	0.206856	0.207171	0.213062
